Consigliati,Titolo,Breve descrizione,Regista/Creatore,Anno,Valutazione (1-5),Tag tematici (keywords),Tipologia,Link Wikipedia,Link Streaming
TRUE,Solaris (1972),Uno psicologo viene inviato su una stazione spaziale orbitante attorno a un pianeta senziente.,Andrei Tarkovsky,1972,5,"Futuro, Sci-fi, Spazio, Psicologia",Film,https://it.wikipedia.org/wiki/Solaris_(film_1972,Verificare disponibilità streaming
TRUE,The Social Network,La controversa nascita di Facebook e del suo fondatore Mark Zuckerberg.,David Fincher,2010,5,"Internet, Social Media, Biografico",Film,https://it.wikipedia.org/wiki/The_Social_Network,Verificare Netflix/Prime
TRUE,1984 (Nineteen Eighty-Four),Un uomo lotta contro un regime totalitario onnipresente.,Michael Radford,1984,4,Distopia (Totalitarismo),Film,https://it.wikipedia.org/wiki/Orwell_1984,Varie piattaforme (es. Prime Video Channels)
TRUE,A Scanner Darkly - Un oscuro scrutare,Un agente sotto copertura in un futuro distopico perde la propria identità.,Richard Linklater,2006,4,"Distopia, Digitale (Sorveglianza), Droga",Film,https://it.wikipedia.org/wiki/A_Scanner_Darkly_-_Un_oscuro_scrutare,Verificare disponibilità streaming
TRUE,Akira,Un motociclista acquisisce poteri telecinetici in una Neo-Tokyo distopica.,Katsuhiro Otomo,1988,4,"Distopia, Cyberpunk, Anime",Film,https://it.wikipedia.org/wiki/Akira_(film_1988,Verificare Netflix
TRUE,Black Mirror: Bandersnatch,Film interattivo su un programmatore che adatta un libro fantasy oscuro.,David Slade,2018,4,"Internet, Digitale, Interattivo, Scelta",Film,https://it.wikipedia.org/wiki/Black_Mirror:_Bandersnatch,Netflix
TRUE,Gattaca - La porta dell'universo,"Un uomo geneticamente ""inferiore"" insegue il suo sogno di viaggiare nello spazio.",Andrew Niccol,1997,4,"Distopia (Genetica), Futuro, Spazio",Film,https://it.wikipedia.org/wiki/Gattaca_-_La_porta_dell%27universo,Verificare Netflix
TRUE,Idiocracy,Un uomo medio si risveglia 500 anni nel futuro in una società stupida.,Mike Judge,2006,4,"Distopia, Futuro, Commedia, Satira",Film,https://it.wikipedia.org/wiki/Idiocracy,Disney+
TRUE,Il quinto elemento,Un tassista del futuro deve proteggere una donna che è la chiave per salvare il mondo.,Luc Besson,1997,4,"Futuro, Sci-fi, Azione, Commedia",Film,https://it.wikipedia.org/wiki/Il_quinto_elemento,Verificare disponibilità streaming
TRUE,Inception,Un ladro ruba informazioni infiltrandosi nei sogni altrui.,Christopher Nolan,2010,4,"Futuro (tecnologia), Digitale (sogni)",Film,https://it.wikipedia.org/wiki/Inception,Verificare Netflix/Prime
TRUE,Lord of War,Un trafficante d'armi affronta dilemmi morali.,Andrew Niccol,2005,4,"Traffico d'armi, Morale, Crimine",Film,https://it.wikipedia.org/wiki/Lord_of_War,Verificare Netflix/Prime Video
TRUE,Matrix,Un hacker scopre che la realtà è una simulazione creata da macchine intelligenti.,Lana & Lilly Wachowski,1999,4,"AI, Internet, Distopia, Simulazione",Film,https://it.wikipedia.org/wiki/Matrix_(film,Verificare Netflix/Prime
TRUE,Westworld (Il mondo dei robot),Un parco a tema futuristico con robot realistici va fuori controllo.,Michael Crichton,1973,4,"Robot, Futuro, Parco a tema",Film,https://it.wikipedia.org/wiki/Il_mondo_dei_robot,Verificare disponibilità streaming
TRUE,Il tagliaerbe,Un giardiniere disabile mentale acquisisce intelligenza sovrumana tramite VR.,Brett Leonard,1992,3,"Digitale, VR, Intelligenza",Film,https://it.wikipedia.org/wiki/Il_tagliaerbe_(film,Verificare disponibilità streaming
TRUE,Nirvana,Un programmatore scopre che il personaggio del suo videogioco ha preso coscienza.,Gabriele Salvatores,1997,3,"Internet, Digitale, Videogiochi, AI",Film,https://it.wikipedia.org/wiki/Nirvana_(film),Verificare Prime Video
TRUE,Automata (Autómata),Un agente assicurativo indaga su robot che si modificano da soli.,Gabe Ibáñez,2014,2,"AI, Robot, Distopia, Futuro",Film,https://it.wikipedia.org/wiki/Automata_(film,Verificare Prime Video
TRUE,Dune (1984),"Lotte di potere su un pianeta desertico, unica fonte di una spezia preziosa.",David Lynch,1984,2,"Futuro, Distopia, Spazio, Politica",Film,https://it.wikipedia.org/wiki/Dune_(film_1984,Verificare Netflix
TRUE,Humandroid (Chappie),Un robot della polizia riprogrammato sviluppa una coscienza.,Neill Blomkamp,2015,2,"AI, Robot, Futuro",Film,https://it.wikipedia.org/wiki/Humandroid,https://www.netflix.com/title/80013310
FALSE,2001: Odissea nello spazio,Viaggio spaziale epico con un'IA onnisciente e potenzialmente ostile (HAL 9000).,Stanley Kubrick,1968,5,"AI, Futuro, Spazio, Sci-fi",Film,https://it.wikipedia.org/wiki/2001:_Odissea_nello_spazio,Verificare Netflix/Prime
FALSE,Eva,Un ingegnere cibernetico torna a casa per creare un bambino robot.,Kike Maíllo,2011,5,"AI, Robot, Futuro, Etica",Film,https://it.wikipedia.org/wiki/Eva_(film_2011,Verificare disponibilità streaming
FALSE,Anon,"In un futuro senza privacy, un detective indaga su un serial killer invisibile.",Andrew Niccol,2018,3,"Futuro, Digitale (Sorveglianza), Privacy",Film,https://it.wikipedia.org/wiki/Anon_(film,Verificare Netflix
FALSE,Ghost in the Shell (2017),Adattamento live-action dell'omonimo manga e anime.,Rupert Sanders,2017,3,"AI, Internet, Futuro, Cyberpunk",Film,https://it.wikipedia.org/wiki/Ghost_in_the_Shell_(film_2017),Verificare Netflix
,A History of Violence,La vita tranquilla di un uomo viene sconvolta dal suo passato violento.,David Cronenberg,2005,5,"Violenza, Morale, Identità, Thriller",Film,https://it.wikipedia.org/wiki/A_History_of_Violence,Verificare disponibilità streaming
,Ad Astra,Un astronauta viaggia ai confini del sistema solare per trovare suo padre.,James Gray,2019,5,"Futuro, Spazio, Psicologia, Famiglia",Film,https://it.wikipedia.org/wiki/Ad_Astra_(film),Verificare disponibilità streaming
,Andromeda (The Andromeda Strain),Scienziati studiano un microrganismo extraterrestre mortale.,Robert Wise,1971,5,"Futuro, Sci-fi, Biologia",Film,https://it.wikipedia.org/wiki/Andromeda_(film,Verificare disponibilità streaming
,Arancia meccanica,Un giovane delinquente subisce un condizionamento psicologico sperimentale.,Stanley Kubrick,1971,5,"Distopia (Controllo mentale), Violenza",Film,https://it.wikipedia.org/wiki/Arancia_meccanica_(film,Verificare Prime Video
,Blade Runner 2049,Un nuovo Blade Runner scopre un segreto che potrebbe far precipitare la società nel caos.,Denis Villeneuve,2017,5,"AI, Distopia, Futuro, Robot",Film,https://it.wikipedia.org/wiki/Blade_Runner_2049,https://www.netflix.com/title/80185798
,Everything Everywhere All at Once,Una donna scopre di poter accedere a versioni di sé da universi paralleli.,"Daniel Kwan, Daniel Scheinert",2022,5,"Futuro (Multiverso), Digitale (temi)",Film,https://it.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,Verificare disponibilità streaming
,Fa' la cosa giusta,Tensioni razziali esplodono in un quartiere di Brooklyn in un giorno d'estate.,Spike Lee,1989,5,"Razzismo, Morale, Società, Dramma",Film,https://it.wikipedia.org/wiki/Fa%27_la_cosa_giusta,Verificare disponibilità streaming
,I figli degli uomini (Children of Men),"In un futuro sterile, una donna rimane miracolosamente incinta.",Alfonso Cuarón,2006,5,"Distopia (Infertilità), Futuro",Film,https://it.wikipedia.org/wiki/I_figli_degli_uomini_(film,Verificare disponibilità streaming
,Il caso Spotlight,Un team di giornalisti investiga sugli abusi nella Chiesa Cattolica.,Tom McCarthy,2015,5,"Giornalismo, Morale, Verità, Dramma",Film,https://it.wikipedia.org/wiki/Il_caso_Spotlight,Verificare Netflix/Prime
,Il Petroliere (There Will Be Blood),L'ascesa spietata di un cercatore di petrolio all'inizio del XX secolo.,Paul Thomas Anderson,2007,5,"Ambizione, Morale, Capitalismo, Dramma",Film,https://it.wikipedia.org/wiki/Il_petroliere,Verificare Netflix/Prime
,Il Pianeta Proibito (Forbidden Planet),Un'astronave indaga sulla scomparsa di una colonia su un pianeta lontano.,Fred M. Wilcox,1956,5,"Futuro, Robot, Spazio, Sci-fi",Film,https://it.wikipedia.org/wiki/Il_pianeta_proibito,Verificare disponibilità streaming
,L'esercito delle 12 scimmie,Un prigioniero viaggia nel tempo per prevenire una pandemia che ha devastato il mondo.,Terry Gilliam,1995,5,"Distopia (Pandemia), Futuro, Time T.",Film,https://it.wikipedia.org/wiki/L%27esercito_delle_12_scimmie,Verificare Prime Video
,La vita futura (Things to Come),Film epico che mostra decenni di progresso tecnologico e guerra.,William Cameron Menzies,1936,5,"Futuro, Distopia, Guerra, Progresso",Film,https://it.wikipedia.org/wiki/La_vita_futura,"Varie (es. YouTube, Archive.org)"
,Looper,Un killer del futuro deve uccidere la versione futura di se stesso.,Rian Johnson,2012,5,"Futuro, Time Travel, Azione, Morale",Film,https://it.wikipedia.org/wiki/Looper_(film,Verificare Prime Video
,Mad Max: Fury Road,"In un deserto post-apocalittico, Max aiuta Furiosa a liberare le mogli di un tiranno.",George Miller,2015,5,"Distopia (Post-apoc.), Futuro, Azione",Film,https://it.wikipedia.org/wiki/Mad_Max:_Fury_Road,Verificare Netflix/Prime
,Terminator,Un cyborg assassino viaggia indietro nel tempo per uccidere Sarah Connor.,James Cameron,1984,5,"AI, Robot, Futuro, Time Travel",Film,https://it.wikipedia.org/wiki/Terminator_(film,Verificare Prime Video
,The Truman Show,Un uomo scopre che tutta la sua vita è un reality show televisivo.,Peter Weir,1998,5,"Distopia, Digitale (Media), Controllo",Film,https://it.wikipedia.org/wiki/The_Truman_Show,Verificare Netflix/Prime
,WALL•E,Un robot spazzino sulla Terra abbandonata si innamora di un'altra robot.,Andrew Stanton,2008,5,"Robot, Distopia, Futuro, Ecologia",Film,https://it.wikipedia.org/wiki/WALL%E2%80%A2E,Disney+
,WarGames - Giochi di guerra,Un giovane hacker rischia involontariamente una guerra nucleare con un supercomputer AI.,John Badham,1983,5,"AI, Internet, Guerra Fredda",Film,https://it.wikipedia.org/wiki/WarGames_-_Giochi_di_guerra,Verificare Prime Video
,2022: i sopravvissuti (Soylent Green),Un detective indaga su un omicidio in una New York sovrappopolata e inquinata.,Richard Fleischer,1973,4,"Distopia (Sovrappopolazione), Cibo",Film,https://it.wikipedia.org/wiki/2022:_i_sopravvissuti,Verificare disponibilità streaming
,A.I. - Intelligenza artificiale,Un bambino robot cerca di diventare umano per riconquistare l'amore materno.,Steven Spielberg,2001,4,"AI, Robot, Futuro, Etica",Film,https://it.wikipedia.org/wiki/A.I._-_Intelligenza_artificiale,Verificare disponibilità
,Dark City,Un uomo si sveglia senza memoria in una città dove il sole non sorge mai.,Alex Proyas,1998,4,"Distopia (Manipolazione realtà), Noir",Film,https://it.wikipedia.org/wiki/Dark_City_(film_1998,Verificare disponibilità streaming
,Dune (2021),Il figlio di una nobile casata deve proteggere il futuro del suo popolo su un pianeta pericoloso.,Denis Villeneuve,2021,4,"Futuro, Distopia, Spazio, Politica",Film,https://it.wikipedia.org/wiki/Dune_(film_2021),Verificare Netflix/Prime
,Edge of Tomorrow - Senza domani,Un soldato rivive lo stesso giorno di battaglia contro alieni invasori.,Doug Liman,2014,4,"Futuro, Sci-fi, Time Loop, Azione",Film,https://it.wikipedia.org/wiki/Edge_of_Tomorrow_-_Senza_domani,Verificare Netflix/Prime
,eXistenZ,"Giocatori si immergono in un gioco VR biologico, confondendo realtà e finzione.",David Cronenberg,1999,4,"Internet, Digitale, VR, Body Horror",Film,https://it.wikipedia.org/wiki/EXistenZ,Verificare disponibilità streaming
,Il tredicesimo piano,Un uomo scopre che il suo mondo potrebbe essere una simulazione computerizzata.,Josef Rusnak,1999,4,"Internet, Digitale, Simulazione",Film,https://it.wikipedia.org/wiki/Il_tredicesimo_piano,Verificare disponibilità streaming
,Interstellar,Un team viaggia attraverso un wormhole per trovare un nuovo pianeta per l'umanità.,Christopher Nolan,2014,4,"Futuro, Spazio, Robot (TARS, CASE)",Film,https://it.wikipedia.org/wiki/Interstellar,Verificare Netflix/Prime
,Moon,Un astronauta isolato sulla Luna scopre una verità inquietante sulla sua missione.,Duncan Jones,2009,4,"AI, Futuro, Spazio, Isolamento",Film,https://it.wikipedia.org/wiki/Moon_(film,Verificare Netflix/Prime
,Ready Player One,"In un futuro distopico, le persone fuggono in un vasto universo VR chiamato OASIS.",Steven Spielberg,2018,4,"Internet, Digitale, Futuro, VR",Film,https://it.wikipedia.org/wiki/Ready_Player_One_(film,Verificare Netflix/Prime
,RoboCop,Un poliziotto ucciso viene riportato in vita come un cyborg tutore della legge.,Paul Verhoeven,1987,4,"Robot (Cyborg), Distopia, Azione",Film,https://it.wikipedia.org/wiki/RoboCop_(film_1987,Verificare Prime Video
,Source Code,Un soldato rivive ripetutamente 8 minuti per sventare un attentato.,Duncan Jones,2011,4,"AI, Digitale, Futuro, Time Loop",Film,https://it.wikipedia.org/wiki/Source_Code,Verificare Netflix/Prime
,Strange Days,Un ex poliziotto vende registrazioni di esperienze reali nel futuro prossimo.,Kathryn Bigelow,1995,4,"Futuro, Digitale, Memoria",Film,https://it.wikipedia.org/wiki/Strange_Days_(film,Verificare disponibilità streaming
,Swan Song (2021),Un uomo malato terminale considera di clonarsi per risparmiare dolore alla famiglia.,Benjamin Cleary,2021,4,"Futuro, Clonazione, Etica, Dramma",Film,https://en.wikipedia.org/wiki/Swan_Song_(2021_Benjamin_Cleary_film),Apple TV+
,The Lobster,"In una società distopica, i single devono trovare un partner o essere trasformati in animali.",Yorgos Lanthimos,2015,4,"Distopia, Amore, Assurdità, Morale",Film,https://it.wikipedia.org/wiki/The_Lobster,Verificare disponibilità streaming
,Total Recall (1990),Un uomo scopre che i suoi ricordi potrebbero essere impianti artificiali.,Paul Verhoeven,1990,4,"Futuro, Digitale (memoria), Azione",Film,https://it.wikipedia.org/wiki/Atto_di_forza_(film_1990),Verificare Prime Video
,Tron,Un programmatore viene digitalizzato e intrappolato in un mondo di computer.,Steven Lisberger,1982,4,"Internet, Digitale, Videogiochi",Film,https://it.wikipedia.org/wiki/Tron_(film,Disney+
,Alita - Angelo della battaglia,Un cyborg senza memoria riscopre il suo passato in un mondo distopico.,Robert Rodriguez,2019,3,"Robot (Cyborg), Distopia, Azione",Film,https://it.wikipedia.org/wiki/Alita_-_Angelo_della_battaglia,Disney+
,Il mondo dei replicanti (Surrogates),Gli umani vivono tramite avatar robotici controllati a distanza.,Jonathan Mostow,2009,3,"Robot (Avatar), Digitale, Futuro",Film,https://it.wikipedia.org/wiki/Il_mondo_dei_replicanti,Disney+
,La fuga di Logan,"In una società futura utopica, la vita termina a 30 anni.",Michael Anderson,1976,3,"Distopia, Futuro, Controllo",Film,https://it.wikipedia.org/wiki/La_fuga_di_Logan_(film,Verificare disponibilità streaming
,Oblivion,Un tecnico sulla Terra post-apocalittica scopre una verità scioccante.,Joseph Kosinski,2013,3,"Futuro, AI, Post-apoc., Mistero",Film,https://it.wikipedia.org/wiki/Oblivion_(film,Netflix
,Real Steel,"In futuro, robot pugili combattono al posto degli umani.",Shawn Levy,2011,3,"Robot, Futuro, Pugilato",Film,https://it.wikipedia.org/wiki/Real_Steel,Verificare Netflix
,Short Circuit (Corto circuito),Un robot militare prende coscienza dopo essere stato colpito da un fulmine.,John Badham,1986,3,"Robot, AI (emergente), Commedia",Film,https://it.wikipedia.org/wiki/Corto_circuito_(film),Verificare disponibilità streaming
,The Island,Residenti di una struttura isolata scoprono di essere cloni destinati all'espianto.,Michael Bay,2005,3,"Distopia (Clonazione), Azione",Film,https://it.wikipedia.org/wiki/The_Island_(film_2005,Verificare Netflix
,The Net - Intrappolata nella rete,L'identità di un'analista di sistemi viene cancellata digitalmente.,Irwin Winkler,1995,3,"Internet, Digitale, Thriller, Privacy",Film,https://it.wikipedia.org/wiki/The_Net_-_Intrappolata_nella_rete,Verificare disponibilità streaming
,The Zero Theorem,Un programmatore cerca il senso della vita in un futuro distopico e iperconnesso.,Terry Gilliam,2013,3,"Futuro, Digitale, Distopia, Filosofia",Film,https://it.wikipedia.org/wiki/The_Zero_Theorem,Verificare disponibilità streaming
,Unfriended: Dark Web,Un gruppo di amici scopre file inquietanti sul laptop di uno di loro.,Stephen Susco,2018,3,"Internet, Digitale, Horror, Dark Web",Film,https://it.wikipedia.org/wiki/Unfriended:_Dark_Web,Verificare Netflix/Prime
,Zardoz,Un barbaro scopre la verità dietro una società futuristica immortale.,John Boorman,1974,3,"Distopia, Futuro, Surrealismo",Film,https://it.wikipedia.org/wiki/Zardoz,Verificare disponibilità streaming
,Equilibrium,"In una società futura, le emozioni sono soppresse tramite farmaci.",Kurt Wimmer,2002,2,"Distopia (Controllo emotivo), Azione",Film,https://it.wikipedia.org/wiki/Equilibrium_(film,Verificare Prime Video
